"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"3310","NEGATIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043537","0.152459814905017","0.622237618124936","-0.461562751320021","-1.27502591738077","938","29","c(""Thbs1"", ""Angpt4"", ""Card10"", ""Apoe"", ""Klf4"", ""Stard13"")"
"3311","NEGATIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032945","0.00630866287121096","0.128806006496457","-0.520643382795233","-1.63144642824772","40","57","c(""Cd44"", ""RT1-Ba"", ""Fcgr2b"", ""Cd86"", ""Bmp4"", ""Tyrobp"", ""Arg1"", ""Vsir"", ""Ptpn6"", ""Cd300a"", ""Inpp5d"", ""Lgals9"", ""Btk"", ""Lyn"", ""Cd276"", ""Sdc4"", ""Cd24"")"
"3312","PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144","1","1","-0.159790888037244","-0.588728810383196","7579","185","c(""Myh8"", ""Ada"", ""Myh3"", ""Nme6"", ""Gck"", ""Nudt1"", ""Enpp3"", ""Mocs1"", ""Hk2"", ""Bphl"", ""Tefm"", ""Ampd3"", ""Nudt5"", ""Mt-nd4"", ""Myh7"", ""Myh6"", ""Gapdhs"", ""Coq7"", ""Adcyap1"", ""Atp7a"", ""Aldoc"", ""Atp1a2"", ""Mt-co1"", ""Cox6a1"", ""Clpx"", ""Coq9"", ""Gnai3"", ""Cox4i2"", ""Coa6"", ""Rhoa"", ""Uqcc3"", ""Ndufb9"", ""Sdhd"", ""Nme3"", ""Ndufa12"", ""Mt-co2"", ""Ak3"", ""Guk1"", ""Tgfb1"", ""Ndufa7"", ""Ndufb8"", ""Mt-co3"", ""Rhoq"", ""Bpgm"", ""Mt-nd5"", ""Atp5mc2"", ""Msh2"", ""Eno3"", ""Ndufs8"", ""Atp5f1e"", ""Dguok"", ""Galt"", ""Rab23"")"
"3313","G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000086","0.0954570037858302","0.510109928484987","0.415928031506066","1.32690665168616","352","40","c(""Fbxl7"", ""Mastl"", ""Cdk14"", ""Cit"", ""Wnt10b"", ""Bach1"", ""Plcb1"", ""Plk1"", ""Fbxl18"", ""Birc5"", ""Kat14"", ""Gadd45a"", ""Cdkn2b"", ""Fbxl15"", ""Tpd52l1"", ""Esrrb"", ""Terf1"", ""Ppm1d"")"
"3314","NEGATIVE REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010633","0.0703232725601348","0.456631667149657","-0.429392851429426","-1.35460717408882","458","59","c(""Thbs1"", ""Angpt4"", ""Sp100"", ""Cxcl13"", ""Card10"", ""Pbld1"", ""Dusp10"", ""Apoe"", ""Klf4"", ""Serpinf1"", ""Stard13"", ""Stc1"", ""Adamts9"", ""Svbp"", ""Ptprm"", ""Cd63"")"
"3315","NUCLEOBASE BIOSYNTHETIC PROCESS%GOBP%GO:0046112","0.585508660648939","1","0.339484789534181","0.9045197052774","2399","18","c(""Shmt1"", ""Cps1"", ""Ppat"", ""Mthfd1l"", ""Gart"", ""Mtor"")"
"3316","POSITIVE REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION%GOBP%GO:0010862","0.429586563307494","0.923426600283502","-0.364826453030003","-1.02341167436802","2659","32","c(""Tgfb2"", ""Bmp4"", ""Bmp2"", ""Lgals9"", ""Rbpms"", ""Hfe"", ""Inhbb"", ""Gdf10"", ""Tgfbr1"", ""Eng"")"
"3317","2-OXOGLUTARATE METABOLIC PROCESS%GOBP%GO:0006103","0.877658303464755","1","0.269662116822965","0.686491790248331","3672","15","c(""Tat"", ""Idh3a"", ""Got2"", ""Dlst"", ""Got1"", ""Dld"", ""Kyat3"")"
"3318","AMMONIUM TRANSPORT%GOBP%GO:0015696","0.230453324909177","0.724255907737837","-0.39194312633347","-1.17103182424606","1458","44","c(""Chrm5"", ""Slc18a3"", ""Ada"", ""Cd300a"", ""Fcer1g"", ""Slc25a45"", ""Btk"", ""Lyn"", ""Slc44a1"", ""Slc22a8"", ""Mapk15"", ""Slc12a2"", ""Fcgr2a"")"
"3319","DIGESTION%GOBP%GO:0007586","0.0648699467251645","0.433842987766621","-0.452386364826784","-1.37341116337571","413","48","c(""Chrm5"", ""Ctrb1"", ""Cartpt"", ""Nmu"", ""Tlr9"", ""Nod2"", ""Chrm3"", ""Tifab"", ""Crhr2"", ""Npr3"", ""Pbld1"", ""Pnlip"", ""Arx"", ""Tlr4"", ""F11r"", ""Rbp4"")"
"3320","ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616","0.999669749009247","1","-0.13600241947748","-0.36346234350408","6053","25","c(""Elovl1"", ""Acss1"", ""Elovl7"", ""Elovl4"", ""Mlycd"", ""Acat1"", ""Acss2"", ""Elovl5"")"
"3321","RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613","1","1","-0.11034356013924","-0.431826156297629","8380","366","c(""LOC100909481"", ""Limd1"", ""LOC306079"", ""Lsm6"", ""LOC502176"", ""Rpl5"", ""Lyar"", ""Rrp36"", ""Rps2"", ""Rps19"", ""Nol3"", ""RGD1359108"", ""Nsun4"", ""Ddx28"", ""Rps27"", ""Rpl26"", ""Rsl1d1"", ""LOC100363452"", ""Eif4a3"", ""Utp15"", ""Rrp8"", ""Rps21"", ""Snrpe"", ""Mrm2"", ""Rps23"", ""Snrpd1"", ""Traf7"", ""Gtf2h5"", ""Prmt5"", ""Patl1"", ""Prpf3"", ""Rps10"", ""Rps24"", ""Rrp1b"", ""Gemin7"", ""Eif3b"", ""LOC687679"", ""Cebpz"", ""Nsa2"", ""Taf9"", ""Rps28"", ""Rps15"", ""Rpl35"", ""LOC103690015"", ""C1d"", ""Eif3j"", ""Eif3f"", ""Cirbp"", ""Zfp593"", ""Emg1"", ""Rpl14"", ""LOC100362987"", 
""Isy1"", ""Pa2g4"", ""Rps8"", ""Rps17"", ""Utp25"", ""Rpf1"", ""Rpsa"", ""Rcl1"", ""Rpl3l"", ""Rplp0"", ""Eif3d"", ""LOC688981"", ""Rps19l2"", ""Rpl3"", ""Lsm3"", ""Rps5"", ""Srfbp1"", ""Snrpd2l"", ""Rpl10"", ""Celf4"", ""Npm3"", ""Smn1"", ""LOC100362339"", ""Lsm4"", ""Tbl3"", ""Isg20l2"", ""Exosc10"", ""Znhit6"", ""Znhit3"", ""Mpv17l2"", ""Fbll1"", ""Gemin5"", ""Exosc4"", ""Celf6"", ""Tsr3"")"
"3322","CHONDROITIN SULFATE PROTEOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0050650","0.562680237489398","1","-0.368501950532951","-0.928603095950839","3316","19","c(""Chst3"", ""B3gat2"", ""Cytl1"", ""Chst11"")"
"3323","REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0090049","0.384933906673037","0.890338833171573","-0.365806745635957","-1.0523423496071","2416","36","c(""Thbs1"", ""Hmox1"", ""Card10"", ""Cib1"", ""Klf4"", ""Stard13"", ""Nr2e1"", ""Vegfa"", ""Gata2"", ""Kdr"", ""Rhoa"", ""Itgb1bp1"", ""Abl1"", ""Notch1"")"
"3324","CELLULAR RESPONSE TO MISFOLDED PROTEIN%GOBP%GO:0071218","0.0177544386096524","0.221688247101904","0.5865865162518","1.64239788558271","70","22","c(""LOC103694506"", ""Dnajb14"")"
"3325","PROTEIN HETEROTETRAMERIZATION%GOBP%GO:0051290","0.985328916232844","1","-0.198812429836766","-0.578524135402665","6245","38","c(""Krt1"", ""Anxa2"", ""LOC100364500"", ""Hist1h2ao"", ""Lrp4"", ""Aldoc"", ""Rcc1"", ""Cd74"", ""Xrcc6"", ""Grin2b"", ""Krt10"", ""Rrm1"", ""Pkd2"", ""Nup54"")"
"3326","NEGATIVE REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045581","0.183274591477091","0.666539354671979","-0.429762131047441","-1.22689685642539","1143","35","c(""Cd44"", ""Loxl3"", ""Bcl6"", ""Bmp4"", ""Tnfsf4"", ""Nfkbid"", ""Il4r"")"
"3327","GLAND DEVELOPMENT%GOBP%GO:0048732","0.00962430426716141","0.162509178233067","-0.333305741153118","-1.32225424262425","82","445","c(""Nts"", ""Cd44"", ""Aldh1a2"", ""Rln1"", ""Ada"", ""Sfrp1"", ""Drd2"", ""Tfap2c"", ""Tbx2"", ""Tnfrsf11a"", ""Tk1"", ""Stra6"", ""Cyp1b1"", ""Tgfb2"", ""Cp"", ""Hmox1"", ""Fas"", ""Tgm2"", ""Pou1f1"", ""Foxb1"", ""Crh"", ""Bmp4"", ""Esrp1"", ""Esr2"", ""Foxf1"", ""Fa2h"", ""Tbx3"", ""Arg1"", ""Lhx3"", ""Mafb"", ""Sema3c"", ""Rarb"", ""Pax6"", ""Tnc"", ""Xdh"", ""Six3"", ""Ikzf1"", ""Sox10"", ""Hk2"", ""Adrb2"", ""Wnt3"", ""Tcf7l2"", ""Mmp2"", ""Bmp2"", ""Gfer"", ""Epha2"", ""Lama1"", ""Pros1"", ""Ugt1a7c"", ""Smo"", ""Erbb3"", ""Ntn1"", ""Lsr"", ""Cdkn1c"", ""Id4"", ""Slco2b1"", ""Tgfa"", ""Serpine2"", ""Rapgef3"", 
""Hfe"", ""Ccne1"", ""Tspo"", ""Sall1"", ""Plxnd1"", ""Igf2"", ""Tph1"", ""Socs2"", ""Igsf3"", ""Foxc1"", ""Inhbb"", ""Vtn"", ""Mdk"", ""Tbx19"", ""Qdpr"", ""Acat2"", ""Slc12a2"", ""Fgfr2"", ""Wls"", ""B4galt1"", ""Sfrp4"", ""Tgfbr1"", ""Ddr1"", ""Pou2f1"", ""Asl"", ""Aurka"", ""Pcna"", ""Alas2"", ""Cited2"", ""Cst3"", ""Mpst"", ""Hhex"", ""Sulf2"", ""Scd"", ""Lef1"", ""Gja1"", ""Adcyap1"", ""Ezh2"", ""Nfatc3"", ""Usf2"", ""Ucp2"", ""Rpl30"", ""Stat5b"", ""Sox2"", ""Bcl2"", ""Foxm1"", ""Psmb9"", ""Atp7a"", ""Fpgs"", ""Tfcp2l1"", ""Pdgfra"", ""Vegfa"", ""Fstl3"", ""Aacs"", ""Acer1"", ""Ccnd1"", ""Gli2"", ""Wnt7b"", 
""Neurl1"", ""Itpr1"", ""Rpl18"", ""Rpl19"", ""Prmt5"", ""Gata2"", ""Tbx1"", ""Foxe1"", ""Ccdc40"", ""Pgr"", ""Erbb2"", ""Ass1"", ""Ncoa3"")"
"3328","CAMP METABOLIC PROCESS%GOBP%GO:0046058","0.61578858207691","1","-0.358501294536412","-0.892450294268517","3634","18","c(""Adcy10"", ""Adcy8"", ""Epha2"")"
"3329","PURINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009179","0.19585635359116","0.680354084935151","0.355773031265799","1.18001170596719","708","48","c(""Ak9"", ""Lrguk"", ""Eno4"", ""Aldob"", ""Nudt16"", ""LOC100911625"", ""Gapdh"", ""Eno2"", ""Ak4"", ""Dlgap2"", ""Ldha"", ""LOC303448"", ""Dhtkd1"", ""LOC108351137"", ""Bad"", ""Pfkl"", ""Nudt9"", ""Pkm"", ""Pfkp"", ""LOC103693780"", ""Pfkfb2"", ""Hk1"", ""Eno1"")"
"3330","PROTEIN LOCALIZATION TO CELL SURFACE%GOBP%GO:0034394","0.23566557211417","0.729043967651696","0.410449805254944","1.17300435217663","932","24","c(""Wnt11"", ""Ptpru"", ""Ank2"", ""Washc1"", ""Slc28a2"", ""Gga3"")"
"3331","REGULATION OF NEUROTRANSMITTER SECRETION%GOBP%GO:0046928","0.403467406380028","0.905009776637142","-0.290728476821192","-1.02962048961443","2908","133","c(""Pdyn"", ""P2ry1"", ""Unc13c"", ""Baiap3"", ""Glra3"", ""Drd2"", ""LOC103694905"", ""P2ry4"", ""Htr2c"", ""Sncaip"", ""Edn3"", ""Chrna3"", ""Adra2a"", ""Wnt7a"", ""Adrb2"", ""Htr1a"", ""P2ry2"", ""Adora2b"", ""Ptger4"")"
"3332","CEREBRAL CORTEX RADIALLY ORIENTED CELL MIGRATION%GOBP%GO:0021799","0.447452739506568","0.933673514115235","-0.353125391584116","-1.00811216614782","2792","35","c(""Reln"", ""Mdga1"", ""Pou3f3"", ""Adgrg1"", ""P2ry12"", ""Nr2e1"")"
"3333","POSITIVE REGULATION OF MUSCLE TISSUE DEVELOPMENT%GOBP%GO:1901863","0.851649186806506","1","-0.243244555553559","-0.782323415108786","5602","67","c(""Tbx2"", ""Bmp4"", ""Ccnb1"", ""Pim1"", ""Cdk1"", ""Adrb2"", ""Erbb3"", ""Trip10"")"
"3334","POSITIVE REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:1901798","0.19234608985025","0.676123015338948","-0.468836603100563","-1.23188088912753","1155","23","c(""Ankrd1"", ""Pla2r1"", ""Steap3"")"
"3335","REGULATION OF MACROPHAGE MIGRATION%GOBP%GO:1905521","0.0620355411954766","0.424054898910028","-0.504637608741952","-1.40888059873203","383","31","c(""Cmklr1"", ""Thbs1"", ""C3ar1"", ""Trpv4"", ""Cd9"", ""Trem2"", ""Slamf8"", ""Mtus1"", ""P2ry12"", ""Mmp14"", ""Cd81"")"
"3336","NEGATIVE REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031330","0.99703837239248","1","-0.18243539908359","-0.682699438419459","7742","217","c(""Pik3cg"", ""Adra1b"", ""Hmox1"", ""Anxa2"", ""Bmf"", ""Slc11a1"", ""Rpl5"", ""Trem2"", ""Hfe"", ""Tspo"", ""Gpld1"", ""Anks1a"", ""Ybx1"", ""Lepr"", ""Timp3"", ""Ddit4"", ""Dhx34"", ""Npc1"", ""Cst3"", ""Apobec1"", ""Rasip1"", ""Pam16"", ""Ptbp1"", ""Sirt2"", ""Dbi"", ""Bcl2"", ""Vegfa"", ""Nrbp2"", ""Cptp"", ""Mt3"", ""Usp25"", ""Dap"", ""Timp4"", ""Zkscan3"", ""Ubxn1"", ""LOC100362830"", ""Wnt1"", ""Taf9"", ""Tsc2"", ""Rbm24"", ""Ddrgk1"", ""Atraid"", ""Cirbp"", ""Nbas"", ""Rbm38"", ""Pabpc1"", ""Qsox1"", ""Sgta"", ""Pkp1"", ""Wdr6"", ""Mtmr2"", ""Hipk2"")"
"3337","HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959","0.0172786177105832","0.21926650435665","-0.476425780498089","-1.51241344281723","111","62","c(""Pf4"", ""Cfd"", ""Krt1"", ""Hist1h2bk"", ""Hist2h2be"", ""C4b"", ""Spon2"", ""C3"", ""Fcgrt"", ""Cxcl13"", ""LOC103689965"", ""C1qc"", ""C1qa"", ""Cfh"", ""LOC100364500"", ""C4bpa"", ""Colec11"", ""C1qb"", ""C1rl"", ""Rps19"", ""Cd81"", ""Tfeb"", ""Gpr183"", ""Rpl30"")"
"3338","CELLULAR RESPONSE TO PROSTAGLANDIN E STIMULUS%GOBP%GO:0071380","0.146366254446891","0.609951466126429","-0.522193405154333","-1.29994414301266","863","18","c(""Sfrp1"", ""P2ry4"", ""Tnfsf4"", ""Pax6"", ""Ptger2"", ""Ptger4"", ""P2ry6"")"
"3339","PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518","0.772842639593909","1","-0.226406559947077","-0.899613714031923","6698","457","c(""LOC100909481"", ""Bace2"", ""LOC100909878"", ""Bdh2"", ""LOC100361259"", ""RGD1359290"", ""LOC306079"", ""Cth"", ""Cpm"", ""LOC100911372"", ""Ece2"", ""Gsta4"", ""Rps29"", ""Eif5b"", ""Gstt3"", ""Ctsh"", ""Rpl28"", ""Bag3"", ""Eif4ebp1"", ""LOC100364116"", ""LOC100910678"", ""LOC100360522"", ""Rpl5"", ""Mrpl52"", ""Aebp1"", ""Gpx3"", ""Rps12"", ""Mrps18b"", ""Trhde"", ""RGD1562420"", ""Eif4ebp2"", ""Oplah"", ""Rps18"", ""Rps2"", ""Rps19"", ""Gstm1"", ""Rps18l1"", ""Rps15a"", ""Carns1"", ""Lamp2"", ""Rps27"", ""Rpl27a"", ""LOC108351936"", ""Rpl36"", ""Eif2ak2"", ""Rpl30"", ""Rpl26"", ""LOC100363452"", 
""Ftsj1"", ""LOC103690821"", ""Qrsl1"", ""Rps21"", ""Dalrd3"", ""Tpp1"", ""Eef1a1"", ""Rps3"", ""Rpl41"", ""Gstk1"", ""LOC100360841"", ""Rps23"", ""Mrpl49"", ""Rps3a"", ""Mrpl1"", ""LOC498555"", ""Rpl18"", ""Rpl19"", ""Eif3l"", ""Guf1"", ""Rpl29"", ""Sec11c"", ""Cpxm1"", ""mrpl9"", ""Gstz1"", ""LOC687780"", ""Rpl37a"", ""Eef1d"", ""Gstp1"", ""Rps24"", ""Cpz"", ""LOC100362830"", ""Nelfb"", ""Eif3b"", ""Rps9l1"", ""Spcs1"", ""Hm13"", ""Uba52"", ""RGD1562402"", ""LOC108350501"", ""Rps28"", ""Rps15"", ""Pars2"", ""Rpl8"", ""Rpl35"", ""Rpl39"", ""LOC103690015"", ""Eif3j"", ""Mrpl16"", ""Ggt1"", ""Eif3f"", 
""Rpl34"", ""Gsta6"", ""Rpl18a"", ""LOC103692716"", ""Mrpl13"", ""Yars"", ""Rpl14"", ""LOC100362987"", ""Cpq"", ""Rps8"", ""Rps17"", ""Rpl32"", ""Tma7"", ""LOC100362027"", ""Rpsa"", ""Rps11"", ""Ethe1"", ""G6pd"", ""Rpl3l"", ""Ece1"", ""Mrpl27"", ""Rplp0"", ""Eif3d"", ""Eef1g"", ""LOC688981"", ""Rps19l2"", ""Rpl3"", ""Eif2s2"", ""Eif1ad"", ""Rps5"", ""LOC691716"", ""LOC100362751"", ""Rack1"", ""Tsfm"", ""Cars"", ""Rpl10"", ""Mrps23"", ""Gtpbp2"", ""Aimp1"", ""Rpl36al"", ""Sod1"", ""LOC100362339"", ""Eif2b4"", ""Sec11a"", ""Dars2"", ""Rpl13"", ""LOC100360573"", ""Anpep"", ""Mgst1"", ""Idh1"", ""Rpl22"", 
""Eif2b5"", ""Rbm4"", ""LOC100365839"")"
"3340","VASODILATION%GOBP%GO:0042311","0.463705134395622","0.945520901825307","-0.353085137085137","-0.997087460060715","2880","33","c(""Bdkrb2"", ""Nos1"", ""Agt"", ""Trpv4"", ""Adrb2"", ""Ednrb"", ""Adora2b"", ""Apoe"", ""Itga1"")"
"3341","PORPHYRIN-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0006778","0.349379895561358","0.85741048446628","-0.394641505749091","-1.08351919921288","2140","28","c(""Spta1"", ""Bdh2"", ""Hmox1"")"
"3342","NUCLEUS ORGANIZATION%GOBP%GO:0006997","0.917758846657929","1","0.208416714651088","0.789306473880874","2800","101","c(""Tnp2"", ""Dyrk3"", ""Parp11"", ""Chmp4c"", ""Pygo1"", ""LOC103690302"", ""Tssk6"", ""Nol12"", ""Plk1"", ""Pml"", ""Ankle2"", ""Ubxn2b"", ""Wrap53"", ""Map7"", ""Chd5"", ""Ubxn2a"", ""Akap8l"")"
"3343","REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0007088","0.772393139123332","1","-0.240006151501017","-0.861259283182434","5673","148","c(""Drd2"", ""Bmp4"", ""Nme6"", ""Ccnb1"", ""Ccna2"", ""Edn3"", ""Ube2c"", ""Ttk"", ""Tacc3"", ""Cdkn1c"", ""Tgfa"", ""Ccne1"", ""Nsmce2"", ""Igf2"", ""Cdt1"", ""Ccnjl"", ""Btc"", ""Nek2l1"", ""Fgfr2"", ""Fbxo5"", ""Cdc6"", ""Nusap1"", ""LOC108348108"", ""L3mbtl1"", ""Ccni"", ""Ccnd1"", ""Cav2"", ""Cdc26"", ""Rcc1"", ""Lcmt1"", ""Slf1"", ""Mad1l1"", ""Pcid2"", ""Tom1l1"", ""Phip"", ""Fbxw5"")"
"3344","REGULATION OF LIPID KINASE ACTIVITY%GOBP%GO:0043550","0.683836040216551","1","-0.280792479220572","-0.871862837377479","4420","54","c(""Rbl1"", ""Pik3r6"", ""Nod2"", ""Cish"", ""Klf4"", ""Lyn"", ""Ccl19"", ""Socs2"", ""Vav2"", ""Cd81"")"
"3345","REGULATION OF BONE REMODELING%GOBP%GO:0046850","0.00218715825652242","0.0687368929522373","-0.558705183933948","-1.70263124619676","13","49","c(""Mepe"", ""Sfrp1"", ""Fcgr3a"", ""Cartpt"", ""Tnfrsf11a"", ""Dlk1"", ""Mc4r"", ""Tf"", ""Csf1r"", ""Inpp5d"", ""Ubash3b"", ""Spp1"", ""Itgb3"", ""Ptger4"", ""Lepr"", ""Cd38"", ""Gja1"", ""Csk"", ""Vegfa"", ""Ltbp3"")"
"3346","NEGATIVE REGULATION OF DNA RECOMBINATION%GOBP%GO:0045910","0.774313408723748","1","-0.284513680688667","-0.794324080988338","4792","31","c(""Radx"", ""Bcl6"", ""Shld1"", ""Mad2l2"", ""Helb"", ""Rtel1"")"
"3347","REGULATION OF CHEMOTAXIS%GOBP%GO:0050920","0.115451505016722","0.554717745735558","-0.329678692976151","-1.20386907945801","862","172","c(""Ocm2"", ""Cmklr1"", ""Thbs1"", ""Vegfd"", ""C3ar1"", ""Fgf1"", ""Lpar1"", ""Nod2"", ""Padi2"", ""Pla2g7"", ""Sema3c"", ""Edn3"", ""Cxcl13"", ""Sema3f"", ""Trpv4"", ""Sema3e"", ""Nbl1"", ""Wnt3"", ""Lgals9"", ""Aif1"", ""Dscam"", ""Adam17"", ""Slc8b1"", ""Swap70"", ""Sema5b"", ""Nckap1l"", ""Trem2"", ""Slamf8"", ""Mtus1"", ""Dapk2"", ""Lyn"", ""Ccl19"", ""P2ry12"", ""Prkd1"", ""Sema3g"", ""Sema6d"", ""Cxcl14"", ""Sema3d"", ""Akt2"", ""Sema3b"", ""Cxcr4"", ""Gja1"", ""Cxcl12"", ""Gpr183"", ""Il12a"", ""Angpt2"", ""Cdh13"", ""Pdgfra"", ""Vegfa"")"
"3348","REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001914","0.286175710594315","0.786509529448619","-0.404458818438201","-1.13458844103256","1771","32","c(""RT1-A2"", ""Il7r"", ""RT1-A1"", ""PVR"", ""LOC100364500"", ""Ptprc"", ""RT1-T24-3"", ""RT1-CE10"", ""Nectin2"", ""RT1-T24-4"", ""Il12a"", ""Cd1d1"", ""RT1-N3"", ""RT1-CE5"")"
"3349","CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:0044839","0.0996479826699161","0.520592113626109","0.407147848657283","1.3145384901147","367","42","c(""Fbxl7"", ""Mastl"", ""Cdk14"", ""Cit"", ""Wnt10b"", ""Bach1"", ""Plcb1"", ""Plk1"", ""Fbxl18"", ""Birc5"", ""Kat14"", ""Gadd45a"", ""Akap8l"", ""Cdkn2b"", ""Fbxl15"", ""Tpd52l1"", ""Esrrb"", ""Terf1"", ""Ppm1d"")"
"3350","AMINO ACID IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0089718","0.0667010486505071","0.442719673594108","-0.605228066438578","-1.44578035494232","387","15","c(""Slc6a5"", ""Ntsr1"", ""Slc1a6"", ""Slc1a5"")"
"3351","PURINE RIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009152","0.99962852897474","1","0.155589283468198","0.620312532192087","2690","143","c(""Ak9"", ""Eno4"", ""Adcy1"", ""Aldob"", ""Ppcs"", ""Nme5"", ""LOC100911625"", ""Elovl6"", ""Gucy2d"", ""Acacb"", ""Gucy1a2"", ""Slc25a13"", ""Gapdh"", ""Ppat"", ""Eno2"", ""Ak4"", ""Adssl1"", ""Adcy9"", ""Pfas"", ""Gart"", ""Acsl5"", ""Adcy3"", ""Nppc"", ""Adss"", ""LOC303448"", ""Dhtkd1"", ""Pdk4"", ""LOC108351137"", ""Impdh1"", ""Acaca"", ""Ampd2"", ""Pfkl"", ""Acsl1"", ""Adk"", ""Pkm"", ""Npr2"", ""Nme7"", ""Pfkp"", ""LOC103693780"", ""Gucy1b1"", ""Atp5me"", ""Pfkfb2"", ""Hk1"", ""Eno1"", ""Acsl4"")"
"3352","ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690","0.0375442375750115","0.334160897135028","-0.458852115384323","-1.43782225891092","243","57","c(""Ptgr1"", ""Cyp1b1"", ""Pla2g5"", ""Ptgds"", ""Pla2g3"", ""Ltc4s"", ""Ptgs1"", ""Hpgd"", ""Alox5ap"", ""Cyp2j10"", ""Ncf1"", ""Cyp4f1"", ""Tbxas1"", ""Tlr4"", ""Fads1"", ""Akr1c14"", ""Tlr2"", ""Alox5"", ""Cyp4f6"")"
"3353","BRANCHING INVOLVED IN MAMMARY GLAND DUCT MORPHOGENESIS%GOBP%GO:0060444","0.684359400998336","1","-0.322658368680898","-0.847793613950843","4112","23","c(""Tfap2c"", ""Tbx3"", ""Epha2"", ""Slc12a2"", ""Ddr1"")"
"3354","POSITIVE REGULATION OF LYMPHOCYTE MIGRATION%GOBP%GO:2000403","0.0739037608802759","0.466831940374109","-0.521602878195351","-1.40778525555402","449","26","c(""Itga4"", ""Pycard"", ""Cxcl13"", ""Lgals9"", ""Aif1"", ""Adam17"", ""Itgb3"", ""Dock8"", ""Cxcl14"", ""Cxcl12"")"
"3355","BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514","0.000121654501216545","0.0136523982519876","-0.420714468063264","-1.63240279380309","0","325","c(""Has2"", ""Plau"", ""Casp8"", ""Adm"", ""Thbs1"", ""Angpt4"", ""Vegfd"", ""Meis1"", ""Gpr4"", ""Tbx2"", ""Amotl1"", ""Bmper"", ""Fgf1"", ""Stra6"", ""Fzd5"", ""Cyp1b1"", ""Tgfb2"", ""Tgfbi"", ""Hmox1"", ""Nrp2"", ""Aplnr"", ""Bmp4"", ""Loxl2"", ""Foxf1"", ""Serpinf2"", ""Myo18b"", ""Hif3a"", ""Hpgd"", ""Ephb1"", ""Adra2b"", ""Ccr3"", ""Anxa2"", ""Sema3e"", ""Wnt7a"", ""Tal1"", ""Pknox1"", ""Mmp2"", ""Cib1"", ""Gab1"", ""Epha2"", ""Lama1"", ""Clic4"", ""Smo"", ""Col3a1"", ""Apoe"", ""Ptger4"", ""Tgfa"", ""Rapgef3"", ""Tfap2b"", ""Shb"", ""Adgrg1"", ""Stard13"", ""Plxnd1"", ""Gpld1"", ""Gja5"", ""Foxc1"", 
""Arhgap24"", ""Adamts9"", ""Adtrp"", ""Mcam"", ""Lepr"", ""Chd7"", ""Il15"", ""Fgfr2"", ""Prkd1"", ""B4galt1"", ""Rnf213"", ""Tgfbr1"", ""Nos3"", ""Apold1"", ""Adipor2"", ""Mmp14"", ""Cspg4"", ""Col18a1"", ""Cited2"", ""Tie1"", ""Eng"", ""Angptl4"", ""Bak1"", ""Gna13"", ""Rasip1"", ""Hhex"", ""Pde3b"", ""Cxcr4"", ""Lef1"", ""Gja1"", ""Cxcl12"", ""Flt4"", ""Lrp2"", ""Nfatc3"", ""Plcd1"", ""Angpt2"", ""Foxm1"", ""Mfge8"", ""Pdgfa"", ""Cdh13"", ""Pdgfra"", ""Vegfa"", ""Tspan12"", ""Il18"", ""Epas1"", ""Tmem100"", ""Prrx1"", ""Wnt7b"", ""Itgb1"", ""Myocd"", ""Spi1"", ""Tbx1"", ""Ramp1"", ""Elk3"", ""Egfl7"", 
""Vegfb"", ""Amotl2"", ""Glmn"")"
"3356","QUINONE BIOSYNTHETIC PROCESS%GOBP%GO:1901663","0.90782936439952","1","-0.268503837128179","-0.649351468220351","5298","16","c(""Coq7"", ""Coq3"", ""Coq4"", ""Coq9"", ""Ubiad1"")"
